Date,Open,High,Low,Close,Volume
2024-01-02 00:00:00,2345.50,2352.30,2340.10,2348.75,1250
2024-01-02 01:00:00,2348.75,2355.20,2345.00,2351.40,980
2024-01-02 02:00:00,2351.40,2358.90,2349.30,2356.20,1100
2024-01-02 03:00:00,2356.20,2360.50,2352.80,2354.10,890
2024-01-02 04:00:00,2354.10,2357.60,2348.20,2350.85,1050
2024-01-02 05:00:00,2350.85,2355.40,2347.50,2353.30,920
2024-01-02 06:00:00,2353.30,2362.10,2351.00,2359.75,1340
2024-01-02 07:00:00,2359.75,2365.80,2357.20,2363.50,1180
2024-01-02 08:00:00,2363.50,2370.20,2360.40,2368.90,1520
2024-01-02 09:00:00,2368.90,2375.60,2365.30,2372.40,1680
2024-01-02 10:00:00,2372.40,2378.30,2368.50,2370.20,1410
2024-01-02 11:00:00,2370.20,2374.80,2365.90,2367.55,1290
2024-01-02 12:00:00,2367.55,2372.10,2362.40,2369.80,1150
2024-01-02 13:00:00,2369.80,2376.50,2367.20,2374.30,1380
2024-01-02 14:00:00,2374.30,2380.90,2371.60,2378.45,1590
2024-01-02 15:00:00,2378.45,2382.70,2374.80,2376.20,1420
2024-01-02 16:00:00,2376.20,2380.40,2370.50,2372.90,1310
2024-01-02 17:00:00,2372.90,2378.60,2369.30,2375.80,1080
2024-01-02 18:00:00,2375.80,2381.20,2373.40,2379.50,1210
2024-01-02 19:00:00,2379.50,2385.30,2376.80,2383.10,1450
2024-01-02 20:00:00,2383.10,2388.70,2380.20,2386.40,1320
2024-01-02 21:00:00,2386.40,2390.50,2382.60,2384.75,1180
2024-01-02 22:00:00,2384.75,2389.20,2381.30,2387.90,1050
2024-01-02 23:00:00,2387.90,2392.40,2385.50,2390.60,980
